game_date,week,passer_player_name,posteam,defteam,passing_yards,pass_touchdown,complete_pass,interception
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,D.Prescott,DAL,LA,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,6.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,6.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,7.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,9.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,15.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,-1.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,-1.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,7.0,0.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,25.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,14.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,12.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,7.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,10.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,18.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,12.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,1.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,6.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,3.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,8.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,24.0,1.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,,0.0,0.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,,0.0,0.0,1.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,45.0,1.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,22.0,0.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,,0.0,0.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,9.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,8.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,1.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,-2.0,0.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,5.0,0.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,12.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,3.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,39.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,1.0,1.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,29.0,0.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,37.0,1.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,,0.0,0.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,38.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,1.0,0.0,1.0,0.0
2020-09-13,1,A.Rodgers,GB,MIN,4.0,1.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,10.0,0.0,1.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,,0.0,0.0,0.0
2020-09-13,1,K.Cousins,MIN,GB,11.0,0.0,1.0,0.0
