week,date,home_team,away_team,venue,status
15,2025-12-14,CHI,CLE,Soldier Field,REG
15,2025-12-14,CIN,BAL,Paycor Stadium,REG
15,2025-12-14,HOU,ARI,NRG Stadium,REG
15,2025-12-14,JAX,NYJ,TIAA Bank Stadium,REG
15,2025-12-14,KC,LAC,GEHA Field at Arrowhead Stadium,REG
15,2025-12-14,NE,BUF,Gillette Stadium,REG
15,2025-12-14,NYG,WAS,MetLife Stadium,REG
15,2025-12-14,PHI,LV,Lincoln Financial Field,REG
15,2025-12-14,DEN,GB,Empower Field at Mile High,REG
15,2025-12-14,LA,DET,SoFi Stadium,REG
15,2025-12-14,NO,CAR,Mercedes-Benz Superdome,REG
15,2025-12-14,SEA,IND,Lumen Field,REG
15,2025-12-14,SF,TEN,Levi's Stadium,REG
15,2025-12-14,DAL,MIN,AT&T Stadium,REG
15,2025-12-15,PIT,MIA,Acrisure Stadium,REG
16,2025-12-18,SEA,LA,Lumen Field,REG
16,2025-12-20,WAS,PHI,FedExField,REG
16,2025-12-20,CHI,GB,Soldier Field,REG
16,2025-12-21,CAR,TB,Bank of America Stadium,REG
16,2025-12-21,CLE,BUF,FirstEnergy Stadium,REG
16,2025-12-21,DAL,LAC,AT&T Stadium,REG
16,2025-12-21,MIA,CIN,Hard Rock Stadium,REG
16,2025-12-21,NO,NYJ,Mercedes-Benz Superdome,REG
16,2025-12-21,NYG,MIN,MetLife Stadium,REG
16,2025-12-21,TEN,KC,Nissan Stadium,REG
16,2025-12-21,ARI,ATL,State Farm Stadium,REG
16,2025-12-21,DEN,JAX,Empower Field at Mile High,REG
16,2025-12-21,DET,PIT,Ford Field,REG
16,2025-12-21,HOU,LV,NRG Stadium,REG
16,2025-12-21,BAL,NE,M&T Bank Stadium,REG
16,2025-12-22,IND,SF,Lucas Oil Stadium,REG
17,2025-12-25,WAS,DAL,FedExField,REG
17,2025-12-25,MIN,DET,U.S. Bank Stadium,REG
17,2025-12-25,KC,DEN,GEHA Field at Arrowhead Stadium,REG
17,2025-12-27,LAC,HOU,SoFi Stadium,REG
17,2025-12-27,GB,BAL,Lambeau Field,REG
17,2025-12-28,CAR,SEA,Bank of America Stadium,REG
17,2025-12-28,CIN,ARI,Paycor Stadium,REG
17,2025-12-28,CLE,PIT,FirstEnergy Stadium,REG
17,2025-12-28,IND,JAX,Lucas Oil Stadium,REG
17,2025-12-28,MIA,TB,Hard Rock Stadium,REG
17,2025-12-28,NYJ,NE,MetLife Stadium,REG
17,2025-12-28,TEN,NO,Nissan Stadium,REG
17,2025-12-28,LV,NYG,Allegiant Stadium,REG
17,2025-12-28,BUF,PHI,New Era Field,REG
17,2025-12-28,SF,CHI,Levi's Stadium,REG
17,2025-12-29,ATL,LA,Mercedes-Benz Stadium,REG
18,2026-01-03,TB,CAR,Raymond James Stadium,REG
18,2026-01-03,SF,SEA,Levi's Stadium,REG
18,2026-01-04,ATL,NO,Mercedes-Benz Stadium,REG
18,2026-01-04,CIN,CLE,Paycor Stadium,REG
18,2026-01-04,HOU,IND,NRG Stadium,REG
18,2026-01-04,JAX,TEN,TIAA Bank Stadium,REG
18,2026-01-04,MIN,GB,U.S. Bank Stadium,REG
18,2026-01-04,NYG,DAL,MetLife Stadium,REG
18,2026-01-04,BUF,NYJ,New Era Field,REG
18,2026-01-04,CHI,DET,Soldier Field,REG
18,2026-01-04,DEN,LAC,Empower Field at Mile High,REG
18,2026-01-04,LA,ARI,SoFi Stadium,REG
18,2026-01-04,LV,KC,Allegiant Stadium,REG
18,2026-01-04,NE,MIA,Gillette Stadium,REG
18,2026-01-04,PHI,WAS,Lincoln Financial Field,REG
18,2026-01-04,PIT,BAL,Acrisure Stadium,REG
19,2026-01-10,CAR,LA,Bank of America Stadium,REG
19,2026-01-10,CHI,GB,Soldier Field,REG
19,2026-01-11,JAX,BUF,TIAA Bank Stadium,REG
19,2026-01-11,PHI,SF,Lincoln Financial Field,REG
19,2026-01-11,NE,LAC,Gillette Stadium,REG
19,2026-01-12,PIT,HOU,Acrisure Stadium,REG
20,2026-01-17,DEN,BUF,Empower Field at Mile High,REG
20,2026-01-17,SEA,SF,Lumen Field,REG
20,2026-01-18,NE,HOU,Gillette Stadium,REG
20,2026-01-18,CHI,LA,Soldier Field,REG
